date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:25:26	904307/904307	---M-Z	200	added ('OK')	text/html	etag:%2255bcec5232024b4acc157fcbbe0f0217%22	https://matheuscopini.com/lover	C:/Users/laura/Downloads/LOVER/matheuscopini.com/lover.html	(from )
14:25:26	90/90	---M-Z	200	added ('OK')	text/plain	etag:%222ffc8730e24c8c9eb060657a407078c9%22	https://matheuscopini.com/robots.txt		(from )
14:25:27	9426/9426	---MC-	200	added ('OK')	image/png	etag:%2215661031a0fa4970e511f30afb342dc1%22	https://framerusercontent.com/images/bLvF8F2LQxc4QPFxmz6PpRa5yxg.png	C:/Users/laura/Downloads/LOVER/framerusercontent.com/images/bLvF8F2LQxc4QPFxmz6PpRa5yxg.png	(from https://matheuscopini.com/lover)
14:25:27	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2021%20May%202025%2017:25:26%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/laura/Downloads/LOVER/www.googletagmanager.com/gtm.25445.delayed	(from https://matheuscopini.com/lover)
14:25:28	12430/12430	---MCZ	200	added ('OK')	text/javascript	etag:W/%22efe61894addf749077304018579f5727%22	https://cdn.utmify.com.br/scripts/utms/latest.js	C:/Users/laura/Downloads/LOVER/cdn.utmify.com.br/scripts/utms/latest.js	(from https://matheuscopini.com/lover)
14:25:28	279969/279969	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2021%20May%202025%2017:25:27%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/laura/Downloads/LOVER/connect.facebook.net/en_US/fbevents.js	(from https://matheuscopini.com/lover)
14:25:28	7384/7384	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2017:25:27%20GMT	https://matheuscopini.com/%22https://scripts.converteai.net/lib/js/smartplayer/v1/sdk.min.js%22	C:/Users/laura/Downloads/LOVER/matheuscopini.com/_https_/scripts.converteai.net/lib/js/smartplayer/v1/sdk.min.5.delayed	(from https://matheuscopini.com/lover)
14:25:29	7384/7384	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2017:25:27%20GMT	https://matheuscopini.com/%22https://scripts.converteai.net/5f17231f-71e1-4132-993b-4e3925deda44/players/67266681a905e5000bea30be/embed.html%22	C:/Users/laura/Downloads/LOVER/matheuscopini.com/_https_/scripts.converteai.net/5f17231f-71e1-4132-993b-4e3925deda44/players/67266681a905e5000bea30be/embed.6.delayed	(from https://matheuscopini.com/lover)
14:25:29	82491/82491	---MC-	200	added ('OK')	image/png	etag:%22bcf31d14076b43a8011b896df9f4ee1d%22	https://framerusercontent.com/images/BRtaW20mxGHBcSbp1bsL9JGc0U.png	C:/Users/laura/Downloads/LOVER/framerusercontent.com/images/BRtaW20mxGHBcSbp1bsL9JGc0U.png	(from https://matheuscopini.com/lover)
14:25:30	1670059/1670059	---MC-	200	added ('OK')	image/jpeg	etag:%22ee547840093aaa46d47a2b2cbf6e1425%22	https://framerusercontent.com/images/vZW3QExeafY8ogiiWnlsg3Z00.jpg	C:/Users/laura/Downloads/LOVER/framerusercontent.com/images/vZW3QExeafY8ogiiWnlsg3Z00.jpg	(from https://matheuscopini.com/lover)
14:25:33	3879233/3879233	---MC-	200	added ('OK')	image/jpeg	etag:%2221bd0d1e70fbc0aa148175806747e108%22	https://framerusercontent.com/images/kdFGV1T3EKYjdFgyJsVnlOOxM.jpg	C:/Users/laura/Downloads/LOVER/framerusercontent.com/images/kdFGV1T3EKYjdFgyJsVnlOOxM.jpg	(from https://matheuscopini.com/lover)
14:25:33	2694654/2694654	---MC-	200	added ('OK')	image/jpeg	etag:%228e97f8b7ee8e998054a7ae0fd1d6e0fb%22	https://framerusercontent.com/images/H7NJOHnJvDWFG8J0Elx9sRj0zoM.jpg	C:/Users/laura/Downloads/LOVER/framerusercontent.com/images/H7NJOHnJvDWFG8J0Elx9sRj0zoM.jpg	(from https://matheuscopini.com/lover)
14:25:33	1628331/1628331	---MC-	200	added ('OK')	image/jpeg	etag:%22d5be4f93b41f0119476703297f5f605a%22	https://framerusercontent.com/images/9NAxWjcA0TZT9Hc5NZD4SvR4GHE.jpg	C:/Users/laura/Downloads/LOVER/framerusercontent.com/images/9NAxWjcA0TZT9Hc5NZD4SvR4GHE.jpg	(from https://matheuscopini.com/lover)
14:25:34	1206931/1206931	---MC-	200	added ('OK')	image/jpeg	etag:%223790c64972c9b3baf9b49d483310d356%22	https://framerusercontent.com/images/z3RbR131rV1lM6nGumCHavfWePQ.jpg	C:/Users/laura/Downloads/LOVER/framerusercontent.com/images/z3RbR131rV1lM6nGumCHavfWePQ.jpg	(from https://matheuscopini.com/lover)
14:25:34	7384/7384	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2017:25:32%20GMT	https://matheuscopini.com/%22https://scripts.converteai.net/5f17231f-71e1-4132-993b-4e3925deda44/players/681e18fa9f3dfef20b382bb2/embed.html%22	C:/Users/laura/Downloads/LOVER/matheuscopini.com/_https_/scripts.converteai.net/5f17231f-71e1-4132-993b-4e3925deda44/players/681e18fa9f3dfef20b382bb2/embed.f.delayed	(from https://matheuscopini.com/lover)
14:25:34	32467/32467	---MC-	200	added ('OK')	image/png	etag:%22690368bb43ce391f751a03cce14d96f0%22	https://framerusercontent.com/images/HOaO0aWGTaiBzBIwsOyb5CQ0njI.png	C:/Users/laura/Downloads/LOVER/framerusercontent.com/images/HOaO0aWGTaiBzBIwsOyb5CQ0njI.png	(from https://matheuscopini.com/lover)
14:25:34	3199721/3199721	---MC-	200	added ('OK')	image/jpeg	etag:%22afe58f9bb37e47b9f4e55589a4c8b83b%22	https://framerusercontent.com/images/eMWvU1C8OyWlYjry8P2xo3TJNo.jpg	C:/Users/laura/Downloads/LOVER/framerusercontent.com/images/eMWvU1C8OyWlYjry8P2xo3TJNo.jpg	(from https://matheuscopini.com/lover)
14:25:34	51022/51022	---MC-	200	added ('OK')	image/png	etag:%22e2401a1d75c7be0b70ed4fe565f01c8d%22	https://framerusercontent.com/images/Oj7mTwYdBzWEkl1IdN1kTjKZU.png	C:/Users/laura/Downloads/LOVER/framerusercontent.com/images/Oj7mTwYdBzWEkl1IdN1kTjKZU.png	(from https://matheuscopini.com/lover)
14:25:35	63716/63716	---MC-	200	added ('OK')	image/png	etag:%2233cbbc60c007140e76f6c96842bf9173%22	https://framerusercontent.com/images/wv0s7X5x2qNrILc0mqoOfar7B4s.png	C:/Users/laura/Downloads/LOVER/framerusercontent.com/images/wv0s7X5x2qNrILc0mqoOfar7B4s.png	(from https://matheuscopini.com/lover)
14:25:35	20250/20250	---MC-	200	added ('OK')	image/png	etag:%22c7a7c4da1ff206d5e0db205991be9975%22	https://framerusercontent.com/images/EZnG4W3qvixAerO4blrAqDCEkgU.png	C:/Users/laura/Downloads/LOVER/framerusercontent.com/images/EZnG4W3qvixAerO4blrAqDCEkgU.png	(from https://matheuscopini.com/lover)
14:25:35	4069777/4069777	---MC-	200	added ('OK')	image/jpeg	etag:%22c5961a1aad4f22c219d12d3ac6e8db35%22	https://framerusercontent.com/images/uhPS1LNcFhsNA36cUt2q6GUYDlY.jpg	C:/Users/laura/Downloads/LOVER/framerusercontent.com/images/uhPS1LNcFhsNA36cUt2q6GUYDlY.jpg	(from https://matheuscopini.com/lover)
14:25:35	53978/53978	---MC-	200	added ('OK')	image/png	etag:%22e24569e5575e25e5ccffdd4bed1326b3%22	https://framerusercontent.com/images/omfvP4Omtt5JmTV1mc1SyDHBZsQ.png	C:/Users/laura/Downloads/LOVER/framerusercontent.com/images/omfvP4Omtt5JmTV1mc1SyDHBZsQ.png	(from https://matheuscopini.com/lover)
14:25:35	27221/27221	---MC-	200	added ('OK')	image/png	etag:%22b9bfeaddd282dd624ad5202f800be124%22	https://framerusercontent.com/images/McgQtGdDr2bxEJXQXXWL2hYdEU.png	C:/Users/laura/Downloads/LOVER/framerusercontent.com/images/McgQtGdDr2bxEJXQXXWL2hYdEU.png	(from https://matheuscopini.com/lover)
14:25:36	3931/3931	---MC-	200	added ('OK')	image/png	etag:%225a2311740e99821b36c0d4d721ebf1f1%22	https://framerusercontent.com/images/RytAaVH2KyOyk1C4gwZI42ZUzD4.png	C:/Users/laura/Downloads/LOVER/framerusercontent.com/images/RytAaVH2KyOyk1C4gwZI42ZUzD4.png	(from https://matheuscopini.com/lover)
14:25:36	205263/205263	---MC-	200	added ('OK')	image/png	etag:%22f1416a7c76c3b82a0ca46af493318a36%22	https://framerusercontent.com/images/P2x0G9ZBFomIWgImvJ6gksyCY4.png	C:/Users/laura/Downloads/LOVER/framerusercontent.com/images/P2x0G9ZBFomIWgImvJ6gksyCY4.png	(from https://matheuscopini.com/lover)
14:25:36	5320/5320	---MC-	200	added ('OK')	image/png	etag:%225cd12ac9661e23fce3f998b415804a99%22	https://framerusercontent.com/images/m2Eb05qGcU3ptu7F1B86nxoDfgU.png	C:/Users/laura/Downloads/LOVER/framerusercontent.com/images/m2Eb05qGcU3ptu7F1B86nxoDfgU.png	(from https://matheuscopini.com/lover)
14:25:37	175486/175486	---M-Z	200	added ('OK')	text/html	etag:%22ac68d83ce8752f28e461b377dac1b44a%22	https://matheuscopini.com/politicas-a-cupula/privacy-policy-2	C:/Users/laura/Downloads/LOVER/matheuscopini.com/politicas-a-cupula/privacy-policy-2.html	(from https://matheuscopini.com/lover)
14:25:37	182818/182818	---M-Z	200	added ('OK')	text/html	etag:%225a61bb85f1fb55e20b79f8dc03fee98b%22	https://matheuscopini.com/politicas-a-cupula/termos-de-uso	C:/Users/laura/Downloads/LOVER/matheuscopini.com/politicas-a-cupula/termos-de-uso.html	(from https://matheuscopini.com/lover)
14:25:37	7384/7384	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2017:25:36%20GMT	https://matheuscopini.com/politicas-a-cupula/pol%c3%83%c2%adtica-de-cookies	C:/Users/laura/Downloads/LOVER/matheuscopini.com/politicas-a-cupula/pol%c3%83%c2%adtica-de-cookies.1b.delayed	(from https://matheuscopini.com/lover)
14:25:38	7384/7384	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2017:25:37%20GMT	https://matheuscopini.com/a	C:/Users/laura/Downloads/LOVER/matheuscopini.com/a.1c.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
14:25:38	7384/7384	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2017:25:37%20GMT	https://matheuscopini.com/POST	C:/Users/laura/Downloads/LOVER/matheuscopini.com/POST.1d.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
14:25:39	7384/7384	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2017:25:37%20GMT	https://matheuscopini.com/b.resolvedLink	C:/Users/laura/Downloads/LOVER/matheuscopini.com/b.1e.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
14:25:39	7384/7384	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2017:25:37%20GMT	https://matheuscopini.com/schema.org/	C:/Users/laura/Downloads/LOVER/matheuscopini.com/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
14:25:39	200356/200356	---M-Z	200	added ('OK')	text/html	etag:%22ff6f6760cb7d001ccc23c8020da54ca1%22	https://matheuscopini.com/	C:/Users/laura/Downloads/LOVER/matheuscopini.com/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
14:25:39	7384/7384	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2017:25:38%20GMT	https://matheuscopini.com/d	C:/Users/laura/Downloads/LOVER/matheuscopini.com/d.1f.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
14:25:39	7384/7384	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2017:25:38%20GMT	https://matheuscopini.com/signals/iwl.js	C:/Users/laura/Downloads/LOVER/matheuscopini.com/signals/iwl.20.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
14:25:40	7384/7384	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2017:25:39%20GMT	https://matheuscopini.com/c.dl	C:/Users/laura/Downloads/LOVER/matheuscopini.com/c.21.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
14:25:40	7384/7384	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2017:25:39%20GMT	https://matheuscopini.com/c.rl	C:/Users/laura/Downloads/LOVER/matheuscopini.com/c.22.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
14:25:41	2153/2153	---MC-	200	added ('OK')	image/png	etag:%22b0f3699e857ee35e6aa500cf8213c99e%22	https://framerusercontent.com/images/fIX5fHDmDmH1O1Zma3D16wF8RCs.png	C:/Users/laura/Downloads/LOVER/framerusercontent.com/images/fIX5fHDmDmH1O1Zma3D16wF8RCs.png	(from https://matheuscopini.com/politicas-a-cupula/privacy-policy-2)
14:25:41	311562/311562	---MC-	200	added ('OK')	image/jpeg	etag:%22cbc5ad0710335a32979202a2d66fb9cc%22	https://framerusercontent.com/images/T1LFZPZBHr0HP5KCbMkQHUW0mZc.jpeg	C:/Users/laura/Downloads/LOVER/framerusercontent.com/images/T1LFZPZBHr0HP5KCbMkQHUW0mZc.jpg	(from https://matheuscopini.com/)
14:25:42	717153/717153	---M-Z	200	added ('OK')	text/html	etag:%222f0c5b6d774136f5ddf7ee08ee168106%22	https://matheuscopini.com/alphalife	C:/Users/laura/Downloads/LOVER/matheuscopini.com/alphalife.html	(from https://matheuscopini.com/)
14:25:42	15752/15752	---MC-	200	added ('OK')	image/jpeg	etag:%2217803b954fb10415558e5350fe1b675c%22	https://framerusercontent.com/images/6IxZl0haIVxPgCEZVT7MAUB5w.jpg?scale-down-to=512	C:/Users/laura/Downloads/LOVER/framerusercontent.com/images/6IxZl0haIVxPgCEZVT7MAUB5w17f5.jpg	(from https://matheuscopini.com/)
14:25:42	7384/7384	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2017:25:40%20GMT	https://matheuscopini.com/campanhas/masterclass	C:/Users/laura/Downloads/LOVER/matheuscopini.com/campanhas/masterclass.27.delayed	(from https://matheuscopini.com/)
14:25:43	459731/459731	---M-Z	200	added ('OK')	text/html	etag:%220e9f53e982ecb45272d8fd3fe9703328%22	https://matheuscopini.com/estoicismodiarionew	C:/Users/laura/Downloads/LOVER/matheuscopini.com/estoicismodiarionew.html	(from https://matheuscopini.com/)
14:25:43	16801/16801	---MC-	200	added ('OK')	image/png	etag:%22832fa5b8367b70a81df8aff75a710145%22	https://framerusercontent.com/images/EE6htPBSI2P97k2A1oowLLVFy78.png	C:/Users/laura/Downloads/LOVER/framerusercontent.com/images/EE6htPBSI2P97k2A1oowLLVFy78.png	(from https://matheuscopini.com/)
14:25:43	17536/17536	---MC-	200	added ('OK')	image/jpeg	etag:%224786d0d5bee8cb017b4d6b1b655794ee%22	https://framerusercontent.com/images/X1r8T5el6oPyP5iheahLGoADcs.jpeg?scale-down-to=512	C:/Users/laura/Downloads/LOVER/framerusercontent.com/images/X1r8T5el6oPyP5iheahLGoADcs17f5.jpg	(from https://matheuscopini.com/)
14:25:43	17564/17564	---MC-	200	added ('OK')	image/jpeg	etag:%226c35120414d12cfa5861b913d5e6c716%22	https://framerusercontent.com/images/I98uuDoAuHz862ijxPn2PWBKvC0.jpeg	C:/Users/laura/Downloads/LOVER/framerusercontent.com/images/I98uuDoAuHz862ijxPn2PWBKvC0.jpg	(from https://matheuscopini.com/)
